Status;Device ID;Location;Machine;Product;Category;Transaction;TransDate;Type;RCoil;RPrice;RQty;MCoil;MPrice;MQty;LineTotal;TransTotal;Prcd Date;;Count of Transaction;Column Labels;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Robert Irvine's - Fit Crunch -  Chocolate Pea;Food;14529356146;05/01/2022;Cash;133;2;1;133;2;1;2;2;05/01/2022;;Jul;285;547;145;88;1065;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Wonderful Pistachios - Variety;Food;14529986281;05/01/2022;Cash;132;2;1;132;2;1;2;2;05/01/2022;;Aug;249;571;124;53;997;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Skinny Pop Popcorn;Food;14531183749;05/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;05/01/2022;;Sep;181;522;82;32;817;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Good Health Veggie Stix - Zesty Ranch;Food;14531184665;05/01/2022;Cash;112;1.5;1;112;1.5;1;1.5;1.5;05/01/2022;;Oct;199;490;76;42;807;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Pure Organic Fruit Bar - Strawberry Banana;Food;14531187276;05/01/2022;Cash;138;1;1;138;1;1;1;1;05/01/2022;;Nov;222;422;71;44;759;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Nutter Butter Bites;Food;14531630062;05/01/2022;Cash;124;1.5;1;124;1.5;1;1.5;1.5;05/01/2022;;Dec;133;412;83;56;684;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Pure Organic Fruit Bar - Strawberry Banana;Food;14531739810;05/01/2022;Cash;138;1;1;138;1;1;1;1;05/01/2022;;Grand Total;2377;5293;1023;657;9350;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Cheetos Baked - Flaming Hot;Food;14532003173;06/01/2022;Cash;114;1.5;1;114;1.5;1;1.5;1.5;06/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Snapple Diet Tea - Lemon;Non Carbonated;14533110987;06/01/2022;Cash;145;2.5;1;145;2.5;1;2.5;2.5;06/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;S. Pellegrino Sparkling Mineral Water;Water;14533291930;06/01/2022;Cash;143;2;1;143;2;1;2;2;06/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Wonderful Pistachios - Variety;Food;14533912503;06/01/2022;Cash;132;2;1;132;2;1;2;2;06/01/2022;;;;;;;;
